ordem,id,receita,page_id,slug_sugerido,situacao
2,30,Molho zabaglione,d04d6174-4f45-82f9-9c3c-81c97e01519a,molho-zabaglione,REJEITADA_REGENERAR
8,60,Torta antiga,1c0d6174-4f45-82e4-bbb9-019d829faba2,torta-antiga,REJEITADA_REGENERAR
12,46,Waffles de chocolate,747d6174-4f45-8316-af2b-81bb2e22ea0d,waffles-de-chocolate,REJEITADA_REGENERAR
15,65,Bolo de mel e cacau (título atribuído pelo conteúdo),ec9d6174-4f45-826d-b78d-8171b36e855a,bolo-de-mel-e-cacau-titulo-atribuido-pelo-conteudo,REJEITADA_REGENERAR
17,43,Torta de Natal australiana,d8bd6174-4f45-82e7-81ac-01aa7189605b,torta-de-natal-australiana,REJEITADA_REGENERAR
18,73,Torta chiffon de limão,994d6174-4f45-82d6-ba28-0199d43f0264,torta-chiffon-de-limao,REJEITADA_REGENERAR
19,49,Chocolate chiffon pie,106d6174-4f45-8272-a984-8154d428fe9c,chocolate-chiffon-pie,REJEITADA_REGENERAR
20,17,Torta de maçã (Ligia),b5fd6174-4f45-82a5-9478-01e5c0e65119,torta-de-maca-ligia,NUNCA_GERADA
21,18,Bolo inglês,6ecd6174-4f45-82ce-a106-81e343af86b0,bolo-ingles,NUNCA_GERADA
22,38,Bolinha de queijo,83ad6174-4f45-83b0-adc6-0140d279848c,bolinha-de-queijo,NUNCA_GERADA
23,28,Manjar branco,0f6d6174-4f45-83cd-944b-0103081459c5,manjar-branco,NUNCA_GERADA
24,4,Bolachinhas com geleia ou mel,0f3d6174-4f45-8234-aefd-81e80cef9cb3,bolachinhas-com-geleia-ou-mel,NUNCA_GERADA
25,48,Bolachinhas (Ivo Murilo),b01d6174-4f45-8374-bbd6-81b7a999da5e,bolachinhas-ivo-murilo,NUNCA_GERADA
26,34,Sequilhos (Rachel),e29d6174-4f45-82fc-ab6b-01758bea08f3,sequilhos-rachel,NUNCA_GERADA
27,57,Bolacha (José Carlos),bcad6174-4f45-82e0-abcd-81f08cbcd5a8,bolacha-jose-carlos,NUNCA_GERADA
28,19,Biscoito de geladeira,2f6d6174-4f45-83e3-870d-81bb561230cf,biscoito-de-geladeira,NUNCA_GERADA
29,31,Biscoitinhos,ce2d6174-4f45-827a-98e2-0159b99bb3dc,biscoitinhos,NUNCA_GERADA
30,33,Pie shell,6ecd6174-4f45-83fa-82b4-8133df9ac8ad,pie-shell,NUNCA_GERADA
31,9,Pudim de castanhas,a34d6174-4f45-82cb-878c-01d85a584ca2,pudim-de-castanhas,NUNCA_GERADA
32,29,Sorvete base,703d6174-4f45-838c-ad96-01a98dc75469,sorvete-base,NUNCA_GERADA
33,83,Creme de queijo,1ded6174-4f45-8317-ad64-811239ff2bcc,creme-de-queijo,NUNCA_GERADA
34,44,Creme de laranja,57fd6174-4f45-824c-a89d-015cebc6460b,creme-de-laranja,NUNCA_GERADA
35,66,Bolo de fubá (Yone),199d6174-4f45-8334-916f-813a680a3408,bolo-de-fuba-yone,NUNCA_GERADA
36,78,Espuma mousse de chocolate (Yone),497d6174-4f45-83e4-a80e-01c32d3f28c6,espuma-mousse-de-chocolate-yone,NUNCA_GERADA
37,59,Doce de damasco,83ad6174-4f45-82b6-b0ec-81a30af73e06,doce-de-damasco,NUNCA_GERADA
38,74,Massa para tortas,d62d6174-4f45-832d-9610-81ce98a3cd18,massa-para-tortas,NUNCA_GERADA
39,64,Recheio de limão,33dd6174-4f45-8250-b33f-0198bad3fde9,recheio-de-limao,NUNCA_GERADA
40,42,Doce de batata (Sofia Coutinho),7acd6174-4f45-82e1-9f6a-01a751f0567c,doce-de-batata-sofia-coutinho,NUNCA_GERADA
41,37,Rosca (Elisa),d97d6174-4f45-8320-8d1d-011641eefc1f,rosca-elisa,NUNCA_GERADA
42,27,Suflê de chocolate (Sugi),7b1d6174-4f45-823f-93e0-01b62aad6057,sufle-de-chocolate-sugi,NUNCA_GERADA
43,1,Bolo de farinha de milho,a75d6174-4f45-82da-aa61-010b281b3359,bolo-de-farinha-de-milho,NUNCA_GERADA
44,53,Bolo A,481d6174-4f45-836c-9406-8185c057cdaf,bolo-a,NUNCA_GERADA
45,10,Bolo da Lila,483d6174-4f45-83af-be3d-812c1ffe452c,bolo-da-lila,NUNCA_GERADA
46,41,Rosca coroa (Leis),7ebd6174-4f45-8383-899e-0169c1432700,rosca-coroa-leis,NUNCA_GERADA
47,76,Puchero,1acd6174-4f45-826b-ae27-817cb08b61d1,puchero,NUNCA_GERADA
48,21,Molho de tomates,c85d6174-4f45-829b-ab2d-01ee3d4e74c0,molho-de-tomates,NUNCA_GERADA
49,67,Filé-mignon à la crème,335d6174-4f45-8384-9659-81018d643f88,file-mignon-a-la-creme,NUNCA_GERADA
50,69,Molho de creme,7afd6174-4f45-830a-bd09-813755bbef1b,molho-de-creme,NUNCA_GERADA
51,50,Lasanha de frango,c10d6174-4f45-83bb-b926-813cc98f5129,lasanha-de-frango,NUNCA_GERADA
52,82,Creme de chocolate e frutas,0d3d6174-4f45-8244-8561-81ba912f8ccb,creme-de-chocolate-e-frutas,NUNCA_GERADA
53,58,Crêpe Suzette,a98d6174-4f45-83aa-9817-819f50b4d917,crepe-suzette,NUNCA_GERADA
54,70,Caramelo,e1ed6174-4f45-82ca-b159-015933934ad4,caramelo,NUNCA_GERADA
55,79,Gelado de chocolate,d10d6174-4f45-835f-b608-81222cd92706,gelado-de-chocolate,NUNCA_GERADA
56,85,Gelado de morangos,132d6174-4f45-8396-af31-81b062583c4c,gelado-de-morangos,NUNCA_GERADA
57,80,Marron glacé,520d6174-4f45-82ea-9c26-01c8ae7106c2,marron-glace,NUNCA_GERADA
58,7,Parfait exotique,02ad6174-4f45-832a-81a4-01874102d931,parfait-exotique,NUNCA_GERADA
59,51,Charlotte de chocolate,c05d6174-4f45-8315-b76f-81611df253a6,charlotte-de-chocolate,NUNCA_GERADA
60,3,Pudim de coco,797d6174-4f45-8369-8b90-8101c5966e8d,pudim-de-coco,NUNCA_GERADA
61,68,Creme de laranja (mamãe),bded6174-4f45-83bf-88ea-015ba896fbba,creme-de-laranja-mamae,NUNCA_GERADA
62,54,Bala (M. Gilda),39cd6174-4f45-83a4-a0b2-8191217ceec0,bala-m-gilda,NUNCA_GERADA
63,12,Rosquinha econômica,98ed6174-4f45-82aa-954d-81337677cb37,rosquinha-economica,NUNCA_GERADA
64,22,Torta de abacaxi (Tia Vag),7dfd6174-4f45-83a7-9115-010b4c7753ab,torta-de-abacaxi-tia-vag,NUNCA_GERADA
65,63,Pudim de pão,958d6174-4f45-8335-953a-817c2bc031c1,pudim-de-pao,NUNCA_GERADA
66,25,Bolo de mandioca (receita datilografada),8bbd6174-4f45-824a-8c2f-01f1d5e79e8c,bolo-de-mandioca-receita-datilografada,NUNCA_GERADA
67,36,Banana cake,d33d6174-4f45-8333-9bad-01201217b5d2,banana-cake,NUNCA_GERADA
68,61,Rocambole de frutas com chantilly,439d6174-4f45-8393-a94a-017e1cc7ee02,rocambole-de-frutas-com-chantilly,NUNCA_GERADA
69,84,Pavê delicioso,b57d6174-4f45-8327-a247-81dc68406687,pave-delicioso,NUNCA_GERADA
70,47,Fudge de castanha-do-pará,cccd6174-4f45-830f-a5f0-0158f361206a,fudge-de-castanha-do-para,NUNCA_GERADA
71,6,Pão de ló americano,728d6174-4f45-8367-9653-81e20ba0f598,pao-de-lo-americano,NUNCA_GERADA
72,16,Bolo de Natal,8b3d6174-4f45-8322-850d-016d6d2b7eda,bolo-de-natal,NUNCA_GERADA
73,15,Bolo de laranja,6e0d6174-4f45-8395-b0de-819df4c6922c,bolo-de-laranja,NUNCA_GERADA
74,62,Fatias de Pão João (Belinha),2c7d6174-4f45-83b9-a8c6-01d524d9dbcf,fatias-de-pao-joao-belinha,NUNCA_GERADA
75,2,Balas de coco,d78d6174-4f45-820a-9696-815ae0ac6d9d,balas-de-coco,NUNCA_GERADA
76,77,Cocada de leite condensado,c96d6174-4f45-8290-9c8c-011ace0b36da,cocada-de-leite-condensado,NUNCA_GERADA
77,14,Pão de mel,b35d6174-4f45-8249-8d36-8117ee1a3e32,pao-de-mel,NUNCA_GERADA
78,13,Bolo de Nescau (Joana),58bd6174-4f45-82da-aedd-8185d1e6e21d,bolo-de-nescau-joana,NUNCA_GERADA
79,32,Biscoito de areia,866d6174-4f45-83ad-9149-81a7186bbac5,biscoito-de-areia,NUNCA_GERADA
80,45,Cuca (mamãe),805d6174-4f45-8324-974f-81b71337cdd6,cuca-mamae,NUNCA_GERADA
81,39,Bolachinha de castanha-do-pará,aabd6174-4f45-827b-afe8-81ec2ba3ba2f,bolachinha-de-castanha-do-para,NUNCA_GERADA
